進場群組,策略,策略代碼,類型,樣本數,觸發樣本數,未觸發樣本數,有效觸發率%,平均報酬%,中位報酬%,勝率%,平均持有日,中位持有日,平均峰值捕捉率%,中位峰值捕捉率%,平均高點回吐%,中位高點回吐%,平均MAE%,平均出場後5日%,平均出場後10日%,觸發_平均報酬%,觸發_中位報酬%,觸發_勝率%,觸發_平均持有日,觸發_中位持有日,觸發_平均峰值捕捉率%,觸發_中位峰值捕捉率%,觸發_平均高點回吐%,觸發_中位高點回吐%,觸發_平均MAE%,觸發_平均出場後5日%,觸發_平均出場後10日%,未觸發_平均報酬%,未觸發_中位報酬%,未觸發_勝率%,未觸發_平均持有日,未觸發_中位持有日,未觸發_平均峰值捕捉率%,未觸發_中位峰值捕捉率%,未觸發_平均高點回吐%,未觸發_中位高點回吐%,未觸發_平均MAE%,未觸發_平均出場後5日%,未觸發_平均出場後10日%,政策分數,訊號分數,綜合分數,群組排名,是否進入綜合排名,可靠度,年度有效年數,年度正中位報酬年數,年度正報酬率%,跨年中位報酬%,最差年度中位報酬%,最佳年度中位報酬%,最低年度觸發率%,年度穩定分數
新進+RS85+未過熱,右側曾≥70後跌破70,right_cross70,右側,5154,4846,308,94.02,1.44,-0.693,43.27,12.5,6.0,-33.17,-2.12,29.34,18.107,-6.122,0.458,1.269,2.426,-0.421,45.44,9.48,5.0,-21.62,-1.21,29.726,17.78,-4.728,0.476,1.322,-14.083,-19.671,9.09,60.0,60.0,-242.76,-300.0,23.267,21.282,-28.055,0.164,0.42,48.64,57.05,48.88,11.0,是,高,4,1,25.0,-0.394,-0.571,0.521,91.96,25.0
新進+RS85+未過熱,右側曾≥60後跌破60,right_cross60,右側,5154,5018,136,97.36,1.248,-0.837,40.84,9.41,5.0,-31.36,-3.05,29.531,17.736,-5.248,0.341,1.086,1.624,-0.753,41.69,8.04,5.0,-26.75,-2.64,29.709,17.412,-4.597,0.363,1.128,-12.624,-20.894,9.56,60.0,60.0,-246.49,-300.0,22.972,21.706,-29.267,-0.492,-0.458,50.23,59.09,46.68,12.0,是,高,4,0,0.0,-0.748,-0.899,0.0,95.76,0.0
新進+RS85+未過熱,右側曾≥50後跌破50,right_cross50,右側,5154,5098,56,98.91,0.968,-1.073,39.39,8.09,5.0,-33.51,-4.0,29.812,17.581,-4.897,0.477,1.22,1.091,-1.024,39.68,7.52,5.0,-31.86,-3.86,29.856,17.397,-4.626,0.48,1.229,-10.205,-24.137,12.5,60.0,60.0,-235.23,-300.0,25.814,25.217,-29.562,0.194,0.387,39.55,47.95,37.4,18.0,是,高,4,0,0.0,-0.979,-1.421,-0.467,98.03,0.0
新進+RS85+未過熱,MA20-MA60開口轉縮,spread_down,均線,5154,5150,4,99.92,0.789,-0.997,37.87,6.11,3.0,-31.49,-3.59,29.991,17.414,-4.085,0.452,1.115,0.695,-1.008,37.83,6.07,3.0,-31.58,-3.6,29.99,17.414,-4.088,0.454,1.115,121.146,95.153,100.0,60.0,60.0,83.36,83.52,31.318,29.891,-0.274,-1.651,1.933,44.09,52.95,41.46,15.0,是,高,4,0,0.0,-1.07,-1.221,-0.803,99.85,0.0
新進+RS85+未過熱,MA60轉下,ma60_down,均線,5154,3839,1315,74.49,5.907,-2.87,36.75,32.19,31.0,-53.36,-14.29,24.872,18.788,-9.556,0.315,0.96,-6.814,-5.699,15.47,22.67,20.0,-93.59,-41.15,25.949,19.401,-11.071,0.298,0.92,43.046,28.883,98.86,60.0,60.0,61.2,65.21,21.73,16.441,-5.132,0.364,1.074,40.0,36.14,32.26,20.0,是,高,4,0,0.0,-5.861,-6.487,-4.737,63.94,0.0
新進+RS85+未過熱,MA20轉下,ma20_down,均線,5154,5098,56,98.91,2.074,-2.235,33.28,12.79,8.0,-43.45,-9.61,28.706,17.974,-5.725,0.739,1.427,0.803,-2.29,32.54,12.27,8.0,-44.86,-10.23,28.775,17.986,-5.755,0.763,1.448,117.816,99.453,100.0,60.0,60.0,82.74,84.93,22.445,16.035,-3.014,-1.457,-0.48,31.14,43.64,32.09,21.0,是,高,4,0,0.0,-2.272,-2.546,-1.919,97.33,0.0
新進+RS85+未過熱,固定持有20日,hold20,基準,5154,5154,0,100.0,2.853,-0.619,47.52,20.0,20.0,-50.76,-1.59,27.927,18.438,-9.743,0.185,0.628,2.853,-0.619,47.52,20.0,20.0,-50.76,-1.59,27.927,18.438,-9.743,0.185,0.628,,,,,,,,,,,,,,,,,否,高,4,1,25.0,-0.696,-1.656,4.801,100.0,25.0
新進+RS85+未過熱,固定持有40日,hold40,基準,5154,5154,0,100.0,4.923,-0.422,48.45,40.0,40.0,-59.24,-0.38,25.857,20.517,-13.431,0.555,1.087,4.923,-0.422,48.45,40.0,40.0,-59.24,-0.38,25.857,20.517,-13.431,0.555,1.087,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.706,-3.2,9.393,100.0,50.0
新進+RS85+未過熱,固定持有60日,hold60,基準,5154,5154,0,100.0,7.838,-0.943,47.92,60.0,60.0,-58.68,-2.86,22.942,19.006,-15.855,0.361,0.83,7.838,-0.943,47.92,60.0,60.0,-58.68,-2.86,22.942,19.006,-15.855,0.361,0.83,,,,,,,,,,,,,,,,,否,高,4,2,50.0,-0.438,-5.176,13.189,100.0,50.0
新進+RS85+未過熱,過熱70後RS回落5,hot70_rs5,組合,5154,2076,3078,40.28,6.667,0.0,49.75,49.04,60.0,-54.58,2.13,24.113,19.307,-13.963,0.174,0.866,4.023,2.834,59.15,32.78,32.0,-8.68,11.41,28.011,21.0,-9.949,0.114,1.048,8.45,-3.41,43.4,60.0,60.0,-86.51,-24.34,21.484,18.112,-16.67,0.214,0.741,67.5,62.5,70.12,2.0,是,高,4,4,100.0,2.761,1.433,4.152,32.6,100.0
新進+RS85+未過熱,過熱70後開口轉縮,hot70_spread,組合,5154,3190,1964,61.89,3.264,1.671,55.12,36.81,37.0,-51.11,6.83,27.516,18.896,-12.156,0.636,1.423,10.353,6.187,75.8,22.53,20.0,13.21,19.51,33.325,21.447,-6.645,0.952,1.958,-8.251,-10.708,21.54,60.0,60.0,-160.77,-225.0,18.081,16.27,-21.106,0.121,0.549,60.91,56.59,64.83,7.0,是,高,4,4,100.0,6.053,5.922,7.643,55.63,100.0
新進+RS85+未過熱,過熱70後至少2項轉弱,hot70_2weak,組合,5154,3331,1823,64.63,3.01,1.635,55.14,35.93,35.0,-51.07,6.96,27.77,19.115,-12.038,0.581,1.458,9.669,5.738,74.75,22.76,20.0,9.63,18.33,33.049,21.429,-7.125,0.891,2.037,-9.158,-11.309,19.31,60.0,60.0,-167.89,-243.33,18.125,16.333,-21.014,0.013,0.394,57.95,52.73,61.91,8.0,是,高,4,4,100.0,5.72,5.128,6.583,58.63,100.0
新進+RS85+未過熱,過熱70後MA20轉下,hot70_ma20,組合,5154,3033,2121,58.85,4.694,-0.372,48.49,41.89,47.0,-55.16,0.0,26.086,19.87,-12.569,0.865,1.429,8.791,3.483,62.61,29.22,28.0,1.17,12.8,31.785,22.611,-7.469,1.349,1.951,-1.165,-9.01,28.29,60.0,60.0,-139.41,-171.01,17.937,15.935,-19.863,0.171,0.678,52.05,51.59,59.04,9.0,是,高,4,4,100.0,3.466,2.726,4.825,53.0,100.0
新進+RS85+未過熱,過熱70後跌破MA20,hot70_below_ma20,組合,5154,3228,1926,62.63,3.764,0.288,50.6,39.04,41.0,-54.98,2.17,27.016,19.723,-12.22,0.813,1.527,10.105,4.229,67.78,26.53,24.0,4.59,14.83,32.541,22.311,-7.029,1.305,2.233,-6.863,-10.719,21.81,60.0,60.0,-159.81,-227.92,17.755,15.789,-20.921,-0.012,0.338,54.09,49.55,58.93,10.0,是,高,4,4,100.0,4.307,3.654,4.956,56.29,100.0
新進+RS85+未過熱,過熱分數≥90,heat90,過熱,5154,3043,2111,59.04,2.176,6.754,63.58,33.81,34.0,-45.96,18.06,28.604,18.645,-12.477,0.474,1.371,12.665,11.596,97.86,15.64,10.0,39.9,34.48,35.02,20.694,-6.172,0.808,2.11,-12.943,-11.685,14.16,60.0,60.0,-175.66,-231.91,19.354,17.251,-21.566,-0.009,0.298,73.18,64.32,73.22,1.0,是,高,4,4,100.0,11.66,11.412,11.783,52.19,100.0
新進+RS85+未過熱,過熱分數≥85,heat85,過熱,5154,3190,1964,61.89,1.976,6.3,65.23,31.97,28.0,-43.76,17.5,28.804,18.621,-12.089,0.48,1.433,11.474,10.577,97.43,14.72,9.0,37.95,32.86,34.562,20.284,-6.026,0.781,2.117,-13.452,-12.254,12.93,60.0,60.0,-183.33,-254.63,19.452,17.334,-21.936,-0.01,0.317,66.82,62.5,69.85,3.0,是,高,4,4,100.0,10.567,10.518,10.764,54.68,100.0
新進+RS85+未過熱,過熱分數≥80,heat80,過熱,5154,3382,1772,65.62,1.823,5.951,66.45,30.29,23.0,-41.85,17.3,28.957,18.75,-11.785,0.555,1.41,10.151,9.703,95.65,14.72,8.0,33.04,30.87,33.864,19.836,-6.398,0.864,1.982,-14.071,-12.917,10.72,60.0,60.0,-192.62,-282.43,19.591,17.63,-22.065,-0.035,0.31,67.05,62.05,69.74,4.0,是,高,4,4,100.0,9.721,9.524,10.135,58.92,100.0
新進+RS85+未過熱,過熱分數≥70,heat70,過熱,5154,3560,1594,69.07,1.76,5.921,66.84,29.24,22.0,-40.31,17.24,29.02,18.627,-11.685,0.456,1.362,8.979,9.149,92.25,15.46,9.0,26.56,29.19,33.347,19.517,-7.204,0.675,1.822,-14.364,-13.179,10.1,60.0,60.0,-198.24,-300.0,19.356,17.391,-21.693,-0.035,0.327,65.45,60.68,68.49,5.0,是,高,4,4,100.0,9.133,8.955,9.31,62.72,100.0
